3.06,2.24
2.59,3.34
3.12,1.41
2.57,1.91
1.94,2.25
2.09,2.87
2.46,2.07
2.27,2.20
2.90,1.88
2.19,1.49
0.47,2.39
2.52,1.55
3.36,1.13
2.03,1.89
2.92,2.88
2.09,2.23
1.47,0.81
1.79,2.09
2.74,2.72
1.77,1.82
1.37,1.15
0.98,3.17
1.69,1.74
1.25,2.47
1.03,1.87
1.46,2.23
1.69,1.29
1.98,2.26
2.04,2.18
1.62,1.78
1.60,1.78
1.51,0.96
2.11,1.76
1.02,2.28
1.46,2.03
2.44,2.08
2.68,1.26
2.24,1.59
1.48,1.65
1.81,2.03
1.30,2.54
2.28,1.08
2.89,3.14
2.71,1.89
1.36,2.63
1.76,2.73
2.12,2.59
2.21,2.42
2.01,3.07
2.08,2.24
3.13,1.19
1.24,2.58
1.30,3.17
1.75,1.55
3.15,2.89
3.12,2.54
1.48,3.15
1.84,2.48
2.57,1.91
2.37,2.55
2.23,1.34
2.18,2.80
1.58,1.91
1.74,3.11
2.40,2.24
1.54,2.32
1.60,2.02
1.62,2.41
2.35,1.88
2.24,1.34
1.11,2.26
2.10,2.38
3.43,2.57
1.45,2.67
1.21,1.72
1.96,3.03
1.55,1.50
1.94,1.60
2.68,1.35
1.31,1.74
1.70,3.16
2.57,2.05
1.26,2.51
1.40,1.07
2.71,2.19
2.55,2.19
2.51,1.61
1.38,2.41
1.52,1.59
1.73,2.01
1.79,1.18
1.61,0.67
2.38,1.04
1.34,2.03
1.56,2.93
1.22,2.16
1.98,1.30
2.31,1.90
2.46,2.49
3.30,2.80
4.28,4.36
5.16,4.89
4.88,3.53
4.49,4.06
4.67,4.44
5.05,4.69
4.97,4.22
3.93,4.25
4.49,4.73
5.86,4.47
3.93,4.29
4.22,4.79
3.58,4.54
4.59,4.64
4.14,4.36
3.65,4.20
4.17,4.75
3.81,4.97
5.40,3.26
4.76,4.91
4.12,4.26
4.42,4.32
4.31,3.49
5.19,5.15
4.01,3.62
4.81,4.15
4.59,4.31
4.91,4.92
4.06,3.67
3.55,4.87
3.79,4.20
4.14,4.47
3.34,4.61
4.81,4.55
4.31,4.56
4.74,2.84
5.67,4.73
4.11,4.27
4.80,4.43
3.28,5.74
4.43,5.11
4.08,5.42
4.67,4.87
3.87,5.23
4.91,5.28
4.12,4.21
5.88,3.86
4.42,5.18
4.56,4.85
4.26,4.72
3.72,5.49
4.43,4.09
4.90,4.22
3.70,3.69
4.92,4.40
4.42,5.15
3.82,4.06
4.27,4.56
4.47,4.33
4.46,4.44
4.07,4.01
4.66,3.97
3.81,4.31
4.41,5.85
4.08,5.07
4.95,3.79
4.96,3.79
2.90,4.86
3.45,4.77
4.09,5.50
5.14,4.23
4.09,3.77
4.24,4.33
4.28,4.59
4.85,4.71
4.04,3.64
5.32,4.09
4.11,4.19
3.39,4.21
4.21,4.87
4.92,4.50
5.06,4.70
4.49,4.60
4.39,4.26
4.34,3.82
4.67,3.90
5.00,4.35
4.53,4.80
4.89,3.56
4.38,5.03
3.48,4.73
3.15,3.89
4.52,3.51
3.91,3.62
5.49,4.60
4.84,4.37
4.29,3.53
4.32,4.04
5.01,5.18
5.38,5.01
